company,country,product_category,brand_name,contact_name,email_address,address,license_number,certification_body,expiry_date,product_details
AGRAWAL GINNING AND PRESSING,India (IN),Raw Fibres,,,projectsorganic@gmail.com,"G.NO. 7/2-1, VIREADE ROAD, CHOPDA, Jalgaon, Chopda, 425107",014447,IDFL,2024-03-13,Undyed Fibers (PC0034) Lint Cotton (PD0074) 100% Organic Cotton (RM0104) GOTS (Organic) 21308
Agrestal Organic Living India Pvt Ltd,India (IN),"Fabrics, Product category (other)",,Mr. rajeev sharma,rajeevsharma@agrestalorganicliving.com,"House No 10, Sopan Parisar, Village Brow Po Rampur Bushahr",CU 1126022,Control Union Certifications,2024-03-31,Fabrics (PC0028) Non-woven fabrics [Needle Punch Felt] (PD0062) -100.0%In Conversion Wool (RM0078) Fabrics (PC0028) Non-woven fabrics [Needle Punch Felt] (PD0062) -100.0%Organic Wool (RM0079) Fabrics (PC0028) Special fabrics [Wadding] (PD0063) -100.0%In Conversion Wool (RM0078) Fabrics (PC0028) Special fabrics [Wadding] (PD0063) -100.0%Organic Wool (RM0079) Undyed fibers (PC0034) Scoured fibers [Combed Sliver Tops] (PD0078) -100.0%Organic Wool (RM0079)
AGROCHANVRE,France (FR),Raw Fibres,,Sylvie GOSSELIN,jpsalmon.agrochanvre@yahoo.fr,La Prise Gontier de Haut,00277637,Ecocert Greenlife,2024-06-14,Raw fibers (PD0075)
AGS INT`L LIMITED,Bangladesh (BD),"Babywear, Children's wear, Ladieswear, Men's wear",,,hr@agsbd.com,"B-49(Part), BSCIC Industrial Estate, Tongi",USB 002290,USB Certification,2024-05-31,"Pants
blouses (PD0005) - 100% organic cotton (RM0104) Dresses
blouses (PD0005) - 70% organic cotton (RM0104) + 25% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238) Pants
blouses (PD0005) - 70% organic cotton (RM0104) + 30% recycled pre/post-consumer polyester (RM0187) Pants
blouses (PD0005) - 75% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238) Babies clothing (PD0013) - 80% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187) + 5% elastane (RM0160) Babies clothing (PD0013) - 75% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238)
blouses (PD0005) - 75% organic cotton (RM0104) + 25% recycled pre/post-consumer polyester (RM0187) Pants
blouses (PD0005) - 80% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) Babies clothing (PD0013) - 85% organic cotton (RM0104) + 10% recycled pre/post-consumer polyester (RM0187) + 5% elastane (RM0160) Babies clothing (PD0013) - 70% organic cotton (RM0104) + 30% recycled pre/post-consumer polyester (RM0187) Shirts
blouses (PD0005) - 90% organic cotton (RM0104) + 10% recycled pre/post-consumer polyester (RM0187) Babies clothing (PD0013) - 80% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) Babies clothing (PD0013) - 90% organic cotton (RM0104) + 10% elastane (RM0160) Babies clothing (PD0013) - 90% organic cotton (RM0104) + 5% elastane (RM0160) + 5% viscose (rayon) (RM0238) Pants
blouses (PD0005) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238) Overcoats
blouses (PD0005) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Pants
blouses (PD0005) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238) Pants
jackets
jackets
skirts (PD0011) - 100% organic cotton (RM0104) Pants
skirts (PD0011) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Suits
suit- pants (PD0002) - 100% organic cotton (RM0104) Shirts
suit- pants (PD0002) - 70% organic wool (RM0079) + 30% recycled pre/post-consumer polyester (RM0187) Babies clothing (PD0013) - 75% organic cotton (RM0104) + 25% recycled pre/post-consumer polyester (RM0187) Babies clothing (PD0013) - 70% organic cotton (RM0104) + 25% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238) Shirts
trousers (PD0003) - 100% organic cotton (RM0104) Shirts
trousers (PD0003) - 70% organic cotton (RM0104) + 25% recycled pre/post-consumer polyester (RM0187) + 5% elastane (RM0160) Pants
trousers (PD0003) - 70% organic cotton (RM0104) + 30% recycled pre/post-consumer polyester (RM0187) Shirts
trousers (PD0003) - 75% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238) Shirts
trousers (PD0003) - 75% organic wool (RM0079) + 25% recycled pre/post-consumer polyester (RM0187) Suits
trousers (PD0003) - 80% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187) + 5% viscose (rayon) (RM0238) Shirts
trousers (PD0003) - 80% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) Overcoats
trousers (PD0003) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187) Pants
trousers (PD0003) - 90% organic cotton (RM0104) + 10% elastane (RM0160) Pants
trousers (PD0003) - 90% organic cotton (RM0104) + 10% recycled pre/post-consumer polyester (RM0187) Pants
trousers (PD0003) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238) Shirts
trousers (PD0003) - 90% organic cotton (RM0104) + 5% viscose (rayon) (RM0238) + 5% elastane (RM0160) Dresses
trousers (PD0003) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Pants
trousers (PD0003) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238) Babies clothing (PD0013) - 100% organic cotton (RM0104) Babies clothing (PD0013) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Shirts
vests (PD0001) - 100% organic cotton (RM0104) Pants
vests (PD0001) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Shirts"
AHASH PRINTERS,India (IN),Fabrics,,,ahashprinters@gmail.com,"SF.NO.234/1, D. No/Plot No.3, New Modern City Uthukuli Road",014327,IDFL,2024-01-17,Printed Fabrics (PC0039) Knitted Fabrics (PD0058) Organic Cotton (RM0104) Organic 51624 Printed Fabrics (PC0039) Knitted Fabrics (PD0058) Organic Cotton (RM0104) + Elastane (spandex) (RM0160) Made with Organic Organic 51624
AHILL APPAREL EXPORTS (P) LIMITED,India (IN),"Babywear, Children's wear, Ladieswear, Men's wear",,,,"No: 24, Anna Nagar, KPN Colony, 3rd Extension",USB 004346,USB Certification,2024-08-18,"Pants
cardigans (PD0004) - 100% organic cotton (RM0104) T-shirts
cardigans (PD0004) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Overcoats
cardigans (PD0004) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Babies clothing (PD0013) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Activewear
cardigans (PD0004) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Undergarment
cardigans (PD0004) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Pants
jackets
jackets
jackets
jackets
pullovers
pullovers
pullovers
pullovers
pullovers
robes (PD0006) - 100% organic cotton (RM0104) Pants
robes (PD0006) - 95% organic cotton (RM0104) + 5% elastane (RM0160) T-shirts
robes (PD0006) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Babies accessories (PD0014) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Activewear
robes (PD0006) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Babies accessories (PD0014) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Overcoats
robes (PD0006) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Sweaters
singlets (PD0007) - 100% organic cotton (RM0104) Sweaters
singlets (PD0007) - 95% organic cotton (RM0104) + 5% elastane (RM0160) T-shirts
singlets (PD0007) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Pants
singlets (PD0007) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Activewear
singlets (PD0007) - 98% organic cotton (RM0104) + 2% elastane (RM0160) T-shirts
sleepwear
sleepwear
sleepwear
sleepwear
sleepwear
sportswear (PD0008) - 100% organic cotton (RM0104) Sweaters
sportswear (PD0008) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Undergarment
sportswear (PD0008) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Sweaters
sportswear (PD0008) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Activewear
sportswear (PD0008) - 97% organic cotton (RM0104) + 3% elastane (spandex) (RM0160)
sportswear (PD0008) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Undergarment
trousers (PD0003) - 100% organic cotton (RM0104) Babies accessories (PD0014) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160) T-shirts
trousers (PD0003) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Sweaters
trousers (PD0003) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Overcoats
trousers (PD0003) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Pants
trousers (PD0003) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Undergarment
vests (PD0001) - 100% organic cotton (RM0104) Activewear
vests (PD0001) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Babies clothing (PD0013) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Babies accessories (PD0014) - 100% organic cotton (RM0104) Activewear
vests (PD0001) - 96% organic cotton (RM0104) + 4% elastane (RM0160) Undergarment
vests (PD0001) - 97% organic cotton (RM0104) + 3% elastane (RM0160) Babies clothing (PD0013) - 100% organic cotton (RM0104) Babies clothing (PD0013) - 95% organic cotton (RM0104) + 5% elastane (RM0160) Overcoats"
AHILL KNIT EXPORTS,India (IN),"Babywear, Children's wear, Ladieswear, Men's wear",,SURESHKUMAR PERUMALSAMY,admin@ahillknits.com,,ICEA-TX-2831,ICEA Istituto per la Certificazione Etica e Ambientale,2024-09-29,"Babies' apparel (PC0003)
Children's apparel (PC0004)
Children's apparel (PC0004)
Men's apparel (PC0001)
Women's apparel (PC0002)"
Ahmad Hassan Textile Mills Limited,Pakistan (PK),"Fabrics, Yarns",,,,46 Hassan Parwana Colony,CU 1040131,Control Union Certifications,2024-03-26,Greige fabrics (PC0026) Woven fabrics (PD0059) 100.0%Organic Cotton (RM0104) Greige fabrics (PC0026) Woven fabrics (PD0059) 97.0%Organic Cotton (RM0104) 3.0%Elastane (Spandex) (RM0160) Greige fabrics (PC0026) Woven fabrics (PD0059) 98.0%Organic Cotton (RM0104) 2.0%Elastane (Spandex) (RM0160) Greige yarns (PC0030) Normally combed yarns (PD0102) 100.0%Organic Cotton (RM0104)
Ahmed Fashions,Bangladesh (BD),"Ladieswear, Men's wear",,,,,CERES-0623,Ceres,2024-04-30,"Men's apparel (PC0001)
Women’s apparel (PC0002)"
Ahmed Fine Textile Mills Limited,Pakistan (PK),"Fabrics, Home Textiles, Yarns",,,,"59/3, Abdali Road",CU 1073086,Control Union Certifications,2024-09-28,"Bath Sheet
Bath robes] (PD0017) 100.0% Organic Cotton (RM0104) Greige yarns (PC0030) Highly combed yarns (PD0103) 100.0% Organic Cotton (RM0104) Home textiles (PC0010) Towels
Home textiles (PC0010) Towels
kitchen linen
kitchen linen
kitchen linen
kitchen linen
kitchen linen
kitchen linen
toilet linen (PD0017) 10.0% Recycled pre/post-consumer Polyester (RM0187) 90.0% Organic Cotton (RM0104) Home textiles (PC0010) Towels
toilet linen (PD0017) 100.0% Organic Cotton (RM0104) Home textiles (PC0010) Towels
toilet linen (PD0017) 5.0% Viscose (rayon) (RM0238) 95.0% Organic Cotton (RM0104) Greige fabrics (PC0026) Woven fabrics (PD0059) 100.0% Organic Cotton (RM0104) Greige fabrics (PC0026) Woven fabrics (PD0059) 98.0% Organic Cotton (RM0104) 2.0% Elastane (Spandex) (RM0160) Undyed fibers (PC0034) Comber noil (PD0082) 100.0% Organic Cotton (RM0104) Organic Undyed fibers (PC0034) Lint cotton (PD0074) 100.0% Organic Cotton (RM0104)
toilet linen (PD0017) 81.0% Organic Cotton (RM0104) 19.0% Recycled pre/post-consumer Polyester (RM0187) Home textiles (PC0010) Towels
toilet linen (PD0017) 95.0% Organic Cotton (RM0104) 5.0% Recycled pre/post-consumer Polyester (RM0187) Home textiles (PC0010) Towels
toilet linen [Bath Towel"
Ahmed Fine Weaving Limited,Pakistan (PK),Fabrics,,,,"1st Floor, International Plaza, Bohra street,",CU 807993,Control Union Certifications,2024-05-06,Greige fabrics (PC0026) Woven fabrics (PD0059) 100.0% Organic Cotton (RM0104) Greige fabrics (PC0026) Woven fabrics (PD0059) 100.0% Organic Cotton (RM0104) Greige fabrics (PC0026) Woven fabrics (PD0059) 98.0% Organic Cotton (RM0104) 2.0% Elastane (Spandex) (RM0160) Undyed fabrics (PC0027) Woven fabrics (PD0059) 100.0% Organic Cotton (RM0104)
Ahmed Oriental Textile Mills Limited,Pakistan (PK),Yarns,,,,"Plot# 102-109, Rahim Yar Khan Industrial Estate",CU 831330,Control Union Certifications,2024-06-07,Greige yarns (PC0030) Carded yarns (PD0067) 100.0% Organic Cotton (RM0104) Greige yarns (PC0030) Carded yarns (PD0067) 25.0% Recycled pre/post-consumer Polyester (RM0187) 75.0% Organic Cotton (RM0104) Greige yarns (PC0030) Normally combed yarns (PD0102) 100.0% Organic Cotton (RM0104)
Ahmed Socks Industries,Bangladesh (BD),Socks,,,,,CGI-700370,Clean Globe International,2024-11-08,"Socks
hosiery (PD0009)"
AHMET ASLANSOY - PAMUK TEKSTIL SAN. VE TIC.A.S.,Turkey (TR),Yarns,,,,"Baspinar Osb.5. Bolge 83567 Nolu Cad. No: 5, Sehitkamil",USB 004949,USB Certification,2024-09-16,Carded yarns (PD0067) 100% organic cotton (RM0104)
Ahmet Karadag,Turkey (TR),"Babywear, Ladieswear, Children's wear, Men's wear",,,marmara.tekstil@hotmail.com,Kocasinan Merkez Mah. Cicek Sok. No:4/K:2-3 Bahcelievler 34192 Istanbul,011527,IDFL,2024-03-27,Babies' Apparel (PC0003) Babies' clothing (PD0013) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Babies' Apparel (PC0003) T-shirts (PD0007) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Children's Denim Apparel (PC0008) Dresses (PD0011) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Children's Denim Apparel (PC0008) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Children's Denim Apparel (PC0008) Shirts (PD0005) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Children's Denim Apparel (PC0008) Sweaters (PD0004) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Children's Denim Apparel (PC0008) T-shirts (PD0007) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Men's Denim Apparel (PC0006) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Men's Denim Apparel (PC0006) Shirts (PD0005) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Men's Denim Apparel (PC0006) Sweaters (PD0004) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Women's Denim Apparel (PC0007) Dresses (PD0011) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Women's Denim Apparel (PC0007) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Women's Denim Apparel (PC0007) Shirts (PD0005) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Women's Denim Apparel (PC0007) Sweaters (PD0004) 100% Organic Cotton (RM0104) GOTS (Organic) 20874 Women's Denim Apparel (PC0007) T-shirts (PD0007) 100% Organic Cotton (RM0104) GOTS (Organic) 20874
AHP Apparels Pvt. Ltd.,India (IN),Fabrics,,,dhanasekaran.hari@shahi.co.in,"SY No 13 14 & 15, Sarjapura Main Road, Bellandur Gate, Bengaluru, 560103",015535,IDFL,2024-06-10,Dyed Fabrics (PC0025) Denim fabrics (PD0061) Organic Cotton (RM0104) GOTS (Organic) 57536 Dyed Fabrics (PC0025) Denim fabrics (PD0061) Organic Cotton (RM0104) + Elastane (spandex) (RM0160) GOTS (Organic) 57536 Dyed Fabrics (PC0025) Denim fabrics (PD0061) Organic Cotton (RM0104) + Elastane (spandex) (RM0160) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Made with Organic) GOTS (Organic) 57536 Dyed Fabrics (PC0025) Denim fabrics (PD0061) Organic Cotton (RM0104) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Made with Organic) GOTS (Organic) 57536 Dyed Fabrics (PC0025) Denim fabrics (PD0061) Organic Cotton (RM0104) + Viscose (Rayon) (RM0238) GOTS (Made with Organic) GOTS (Organic) 57536
Ahsan Composite Ltd.,Bangladesh (BD),"Children's wear, Garments, Ladieswear, Men's wear",,,,,CERES-0140,Ceres,2024-01-31,"Dresses
Overcoats
Pants
Shirts
Sweaters
T-shirts
blouses (PD0005)
cardigans (PD0004)
jackets
pullovers
singlets (PD0007)
skirts (PD0011)
trousers (PD0003)
vests (PD0001)"
Ahsiar Fashions Ltd,Bangladesh (BD),"Babywear, Ladieswear, Men's wear, Accessories",,,,"55, Shovapur, Rajfulbaria, Savar, Dhaka, BD-C, 1347, Bangladesh, BD",GOTS-20200327,GSCS,2024-07-15,"Shirts
blouses (PD0005) Scarves
handbags
jackets
pouches (PD0024)
robes (PD0006) Dresses
shawls
singlets (PD0007) Undergarment
skirts (PD0011) Pants
sleepwear
sportswear (PD0008) Overcoats
totes
trousers (PD0003) Babies' clothing (PD0013) Bags
uniforms (PD0010) Activewear
veils (PD0028) Workwear
vests (PD0001) T-shirts"
AHUJASONS SHAWL WALE PVT. LTD.,India (IN),"Accessories, Ladieswear, Home Textiles",,,info@ahujasons.com,"Plot No. A-81, Sector 2, Noida Gautam Buddha Nagar Gautam Buddha Nagar, 201301",015491,IDFL,2024-05-29,Home Textiles (PC0010) Bed Linen (PD0015) Organic Cotton (RM0104) + Wool (RM0077) GOTS (Organic) 18558 Home Textiles (PC0010) Bed Linen (PD0015) Organic Wool (RM0079) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Organic) 18558 Home Textiles (PC0010) Bed Linen (PD0015) Organic Cotton (RM0104) GOTS (Organic) 18558 Home Textiles (PC0010) Bed Linen (PD0015) Organic Cotton (RM0104) + Silk (RM0065) GOTS (Made with Organic) GOTS (Organic) 18558 Women's Apparel (PC0002) Suits (PD0002) Organic Wool (RM0079) + Silk (RM0065) GOTS (Organic) 18558 Women's Apparel (PC0002) Suits (PD0002) Organic Wool (RM0079) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Organic) 18558 Women's Apparel (PC0002) Suit-pants (PD0002) Organic Wool (RM0079) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Organic) 18558 Women's Apparel (PC0002) Suit-pants (PD0002) Organic Wool (RM0079) + Silk (RM0065) GOTS (Organic) 18558 Worn Accessories (PC0012) Scarves (PD0028) Organic Cotton (RM0104) GOTS (Organic) 18558 Worn Accessories (PC0012) Shawls (PD0028) Organic Cotton (RM0104) GOTS (Organic) 18558 Worn Accessories (PC0012) Veils (PD0028) Organic Cotton (RM0104) GOTS (Organic) 18558 Worn Accessories (PC0012) Veils (PD0028) Organic Wool (RM0079) GOTS (Organic) 18558 Worn Accessories (PC0012) Scarves (PD0028) Organic Wool (RM0079) GOTS (Organic) 18558 Worn Accessories (PC0012) Shawls (PD0028) Organic Wool (RM0079) GOTS (Organic) 18558 Worn Accessories (PC0012) Shawls (PD0028) Organic Cotton (RM0104) + Wool (RM0077) GOTS (Made with Organic) GOTS (Organic) 18558 Worn Accessories (PC0012) Scarves (PD0028) Organic Cotton (RM0104) + Wool (RM0077) GOTS (Made with Organic) GOTS (Organic) 18558 Worn Accessories (PC0012) Veils (PD0028) Organic Cotton (RM0104) + Wool (RM0077) GOTS (Made with Organic) GOTS (Organic) 18558 Worn Accessories (PC0012) Veils (PD0028) Organic Wool (RM0079) + Recycled Pre/Post-Consumer Polyester (RM0187) GOTS (Made with Organic) GOTS (Organic) 18558
Aiayu Aps,Denmark (DK),"Ladieswear, Accessories, Home Textiles",,Anna Bernstein,,,DK31006,Soil Association Certification Ltd.,2024-02-29,
AIFAZ COTTEX PRIVATE LIMITED,India (IN),Raw Fibres,,,,"null, GAT NO 99, YAVATMAL ROAD, NILAPUR,",200359,Intertek Testing Services,2024-04-09,Undyed fibers | PC0034
AIFAZ COTTON PROCESSORS,India (IN),Product category (other),,,,"0, NAGPUR ROAD, WANI Yavatmal",197269-GOTS,Intertek Testing Services,2024-01-02,
Aikya Clothing Private Limited,India (IN),"Babywear, Children's wear",,,ashwanth@atoddlerthing.com,"D No. 3/290 B, Parappalayam Amman Kovil Thottam, Mannarai Village Tirupur, 641607",017651,IDFL,2024-09-08,
Aims Hosiery Limited,Pakistan (PK),Fabrics,,Sajid Umer,info@aimshosiery.com,22 KM Ferozpur Road Rohi Nala,USB 003321,USB Certification,2024-03-30,"Socks
hosiery (PD0009) - 64% organic cotton (RM0104) + 34% organic wool (RM0079) + 2% elastane (spandex) (RM0160) Socks
hosiery (PD0009) - 96% organic cotton (RM0104) + 3% polyamide (nylon) (RM0182) + 1% elastane (spandex) (RM0160)
hosiery (PD0009) - 98% organic cotton (RM0104) + 2% elastane (RM0160) Socks
hosiery (PD0009) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160) Socks"
AIMSA Grupo Textil SL,Spain (ES),Garments,,Carlos BORREDA,carlosborreda@ysabelmora.com,"Poligon Industrial de Meses, 3",00245389,Ecocert Greenlife,2024-07-28,"Undergarment
garters (PD0012) Babies' clothing (PD0013)
robes (PD0006) Brassieres
sleepwear
suspenders"
Airwill Home Collections Pvt. Ltd.,India (IN),"Accessories, Fabrics, Home Textiles, Product category (other), Yarns",,,,"S.F. No. 170 A1 , A1A, Old Salem Road, Naval Nagar Opp",CMPY-157262-GOTS,Intertek Testing Services,2024-04-03,Worn accessories | PC0012 Greige fabrics | PC0026 Carried accessories | PC0011 Home textiles | PC0010 Dyed fabrics | PC0025 Greige yarns | PC0030 Outdoor | PC0018
AISHWARYA TEXTILE PRINTERS,India (IN),Fabrics,,,,,EGL/155631/1371903/1,Ecocert Greenlife,2023-12-31,Printed fabrics (PC0039)- Woven Fabric (PD0059)- 100% organic cotton (RM0104) Printed fabrics (PC0039)- Woven Fabric [Printed Cut panel] (PD0059)- 100% organic cotton (RM0104)
Aitken Spence (Garment) Ltd,Sri Lanka (LK),"Babywear, Men's wear, Garments",,,,No -222 Agalawatta Road,1050068,Control Union Certifications,2024-08-20,"Babies' apparel (PC0003) Shirts
blouses (PD0005) 100.0% Organic Cotton (RM0104)
blouses (PD0005) 100.0% Organic Cotton (RM0104) Unisex apparel (PC0005) Shirts"
Ajanta Labels Company Private Limited,India (IN),Accessories,,,office@ajantalabels.com,"Plot No. 53A/7, Ground Floor Rama Road Industrial Area, Najafgarh Road",014313,IDFL,2024-03-01,Functional Accessories (PC0017) Labels (PD0038) Organic Cotton (RM0104)
Ajanta Universal Fabrics Limited,India (IN),"Fabrics, Yarns",,Mr. Amar Salokhe,amar@aufl.in,"B 60 B 63 B 177, Opp Water Treatment Plant, Tasawade, Umbraj",CU 1067197,Control Union Certifications,2024-08-17,Greige fabrics (PC0026) Woven fabrics (PD0059) -100.0% Organic Cotton (RM0104) Greige yarns (PC0030) Open-end yarns (PD0066) -100.0% Organic Cotton (RM0104)
AJIT YARNS,India (IN),"Fabrics, Home Textiles, Yarns",,,,"T-7, INDUSTRIAL AREA",198494,Intertek Testing Services,2024-04-17,Home textiles | PC0010 Greige fabrics | PC0026 Dyed yarns | PC0029 Greige yarns | PC0030
Akarteks Tekstil San. Ve Tic.A.S,Turkey (TR),"Ladieswear, Children's wear, Men's wear",,,,Deliklikaya Mahallesi Elmadag Caddesi No:9/1 Arnavutkoy 34214 Istanbul,015131,IDFL,2024-04-05,"55018
55018 Children's Apparel (PC0004) Blouses (PD0005) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Children's Apparel (PC0004) Dresses (PD0011) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Children's Apparel (PC0004) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Children's Apparel (PC0004) Pants (PD0003) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Men's Apparel (PC0001) Blouses (PD0005) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Men's Apparel (PC0001) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Men's Apparel (PC0001) Pants (PD0003) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Men's Denim Apparel (PC0006) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Women's Apparel (PC0002) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Women's Apparel (PC0002) Pants (PD0003) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
55018 Women's Denim Apparel (PC0007) Jackets (PD0001) 100% Organic Cotton (RM0104) GOTS (Organic) 17454
Children's Apparel (PC0004) Activewear (PD0008) 100% Organic Cotton (RM0104) GOTS (Organic) 17454"
